order_id,customer_id,product_id,quantity,order_date,order_ts
20260825000,41,2,1,2026-08-25,2026-08-25T23:17:00
20260825001,16,4,2,2026-08-25,2026-08-25T23:06:00
20260825002,44,2,4,2026-08-25,2026-08-25T01:01:00
20260825003,6,4,2,2026-08-25,2026-08-25T16:38:00
20260825004,2,4,4,2026-08-25,2026-08-25T07:28:00
20260825005,38,5,1,2026-08-25,2026-08-25T05:44:00
20260825006,28,6,3,2026-08-25,2026-08-25T04:13:00
20260825007,49,6,1,2026-08-25,2026-08-25T02:24:00
20260825008,7,6,3,2026-08-25,2026-08-25T19:16:00
20260825009,3,8,1,2026-08-25,2026-08-25T12:05:00
20260825010,36,5,3,2026-08-25,2026-08-25T18:12:00
20260825011,46,2,1,2026-08-25,2026-08-25T21:14:00
20260825012,50,5,1,2026-08-25,2026-08-25T07:55:00
20260825013,7,7,3,2026-08-25,2026-08-25T14:40:00
20260825014,24,3,3,2026-08-25,2026-08-25T11:13:00
20260825015,43,5,1,2026-08-25,2026-08-25T19:40:00
20260825016,11,4,2,2026-08-25,2026-08-25T14:24:00
20260825017,18,4,3,2026-08-25,2026-08-25T01:14:00
20260825018,3,6,4,2026-08-25,2026-08-25T08:04:00
20260825019,14,6,2,2026-08-25,2026-08-25T20:31:00
20260825020,26,8,2,2026-08-25,2026-08-25T08:08:00
20260825021,16,5,4,2026-08-25,2026-08-25T18:25:00
20260825022,24,4,2,2026-08-25,2026-08-25T16:31:00
20260825023,6,1,1,2026-08-25,2026-08-25T04:40:00
20260825024,11,7,1,2026-08-25,2026-08-25T12:24:00
20260825025,39,8,3,2026-08-25,2026-08-25T17:55:00
20260825026,1,2,3,2026-08-25,2026-08-25T20:21:00
20260825027,8,5,4,2026-08-25,2026-08-25T05:29:00
20260825028,1,5,2,2026-08-25,2026-08-25T16:58:00
20260825029,7,5,2,2026-08-25,2026-08-25T04:23:00
20260825030,49,3,1,2026-08-25,2026-08-25T19:20:00
20260825031,32,1,1,2026-08-25,2026-08-25T11:56:00
20260825032,20,4,1,2026-08-25,2026-08-25T07:56:00
20260825033,37,2,1,2026-08-25,2026-08-25T23:31:00
20260825034,5,3,2,2026-08-25,2026-08-25T21:30:00
20260825035,36,3,3,2026-08-25,2026-08-25T16:55:00
20260825036,39,7,2,2026-08-25,2026-08-25T17:48:00
20260825037,47,4,3,2026-08-25,2026-08-25T12:42:00
20260825038,42,6,4,2026-08-25,2026-08-25T16:28:00
20260825039,8,4,2,2026-08-25,2026-08-25T02:21:00
20260825040,2,4,2,2026-08-25,2026-08-25T00:04:00
20260825041,46,1,2,2026-08-25,2026-08-25T02:57:00
20260825042,3,6,1,2026-08-25,2026-08-25T16:15:00
20260825043,18,8,2,2026-08-25,2026-08-25T17:08:00
20260825044,47,8,2,2026-08-25,2026-08-25T15:51:00
20260825045,27,4,1,2026-08-25,2026-08-25T03:42:00
20260825046,28,6,4,2026-08-25,2026-08-25T13:29:00
20260825047,47,1,1,2026-08-25,2026-08-25T01:25:00
20260825048,47,6,1,2026-08-25,2026-08-25T07:12:00
20260825049,13,8,2,2026-08-25,2026-08-25T13:11:00
20260825050,18,8,2,2026-08-25,2026-08-25T02:28:00
20260825051,36,2,1,2026-08-25,2026-08-25T20:34:00
20260825052,1,2,2,2026-08-25,2026-08-25T05:26:00
20260825053,32,8,2,2026-08-25,2026-08-25T12:57:00
20260825054,4,3,4,2026-08-25,2026-08-25T00:24:00
20260825055,17,8,3,2026-08-25,2026-08-25T13:44:00
20260825056,47,8,2,2026-08-25,2026-08-25T06:18:00
20260825057,14,1,1,2026-08-25,2026-08-25T23:20:00
20260825058,4,1,4,2026-08-25,2026-08-25T16:58:00
20260825059,34,3,1,2026-08-25,2026-08-25T16:05:00
20260825060,12,2,1,2026-08-25,2026-08-25T21:55:00
20260825061,16,7,1,2026-08-25,2026-08-25T18:15:00
20260825062,38,1,1,2026-08-25,2026-08-25T13:42:00
20260825063,38,6,3,2026-08-25,2026-08-25T06:42:00
20260825064,46,6,2,2026-08-25,2026-08-25T08:25:00
20260825065,9,5,4,2026-08-25,2026-08-25T10:59:00
20260825066,49,2,1,2026-08-25,2026-08-25T14:39:00
20260825067,37,2,1,2026-08-25,2026-08-25T17:13:00
20260825068,33,5,2,2026-08-25,2026-08-25T11:56:00
20260825069,5,4,3,2026-08-25,2026-08-25T09:10:00
20260825070,29,5,1,2026-08-25,2026-08-25T21:52:00
20260825071,36,5,1,2026-08-25,2026-08-25T04:16:00
20260825072,8,2,2,2026-08-25,2026-08-25T08:18:00
20260825073,39,4,3,2026-08-25,2026-08-25T06:43:00
20260825074,41,5,4,2026-08-25,2026-08-25T08:57:00
20260825075,4,2,4,2026-08-25,2026-08-25T08:02:00
20260825076,1,6,2,2026-08-25,2026-08-25T20:16:00
20260825077,11,8,4,2026-08-25,2026-08-25T17:00:00
20260825078,8,2,2,2026-08-25,2026-08-25T17:02:00
20260825079,24,3,4,2026-08-25,2026-08-25T04:02:00
20260825080,20,6,1,2026-08-25,2026-08-25T11:13:00
20260825081,44,4,1,2026-08-25,2026-08-25T11:49:00
20260825082,36,7,2,2026-08-25,2026-08-25T07:55:00
20260825083,11,3,4,2026-08-25,2026-08-25T00:11:00
20260825084,48,6,4,2026-08-25,2026-08-25T21:55:00
20260825085,48,4,3,2026-08-25,2026-08-25T05:50:00
20260825086,45,2,4,2026-08-25,2026-08-25T01:54:00
20260825087,31,4,2,2026-08-25,2026-08-25T14:22:00
20260825088,20,4,2,2026-08-25,2026-08-25T00:42:00
20260825089,13,7,3,2026-08-25,2026-08-25T08:55:00
20260825090,5,5,3,2026-08-25,2026-08-25T20:32:00
20260825091,26,6,1,2026-08-25,2026-08-25T03:56:00
20260825092,17,3,3,2026-08-25,2026-08-25T01:06:00
20260825093,39,7,3,2026-08-25,2026-08-25T23:50:00
20260825094,21,7,1,2026-08-25,2026-08-25T12:57:00
20260825095,37,4,3,2026-08-25,2026-08-25T01:45:00
20260825096,28,1,2,2026-08-25,2026-08-25T11:27:00
20260825097,5,6,3,2026-08-25,2026-08-25T21:54:00
20260825098,8,5,3,2026-08-25,2026-08-25T21:26:00
20260825099,21,7,3,2026-08-25,2026-08-25T17:08:00
20260825100,13,7,4,2026-08-25,2026-08-25T21:47:00
20260825101,12,5,4,2026-08-25,2026-08-25T17:53:00
20260825102,1,5,3,2026-08-25,2026-08-25T06:27:00
20260825103,38,6,4,2026-08-25,2026-08-25T14:28:00
20260825104,44,4,4,2026-08-25,2026-08-25T23:10:00
20260825105,43,2,3,2026-08-25,2026-08-25T16:42:00
20260825106,41,6,1,2026-08-25,2026-08-25T07:43:00
20260825107,20,4,2,2026-08-25,2026-08-25T04:01:00
20260825108,3,4,4,2026-08-25,2026-08-25T19:54:00
20260825109,50,2,4,2026-08-25,2026-08-25T13:56:00
20260825110,41,4,4,2026-08-25,2026-08-25T15:25:00
20260825111,16,3,1,2026-08-25,2026-08-25T03:49:00
20260825112,28,4,2,2026-08-25,2026-08-25T22:33:00
20260825113,30,1,2,2026-08-25,2026-08-25T03:29:00
20260825114,9,8,3,2026-08-25,2026-08-25T14:39:00
20260825115,47,7,4,2026-08-25,2026-08-25T05:47:00
20260825116,31,8,3,2026-08-25,2026-08-25T07:53:00
20260825117,41,5,4,2026-08-25,2026-08-25T20:15:00
20260825118,18,8,1,2026-08-25,2026-08-25T22:18:00
20260825119,16,5,3,2026-08-25,2026-08-25T10:57:00
20260825120,35,2,2,2026-08-25,2026-08-25T04:14:00
20260825121,25,3,2,2026-08-25,2026-08-25T02:26:00
20260825122,27,6,4,2026-08-25,2026-08-25T13:03:00
20260825123,14,7,4,2026-08-25,2026-08-25T18:44:00
20260825124,2,7,4,2026-08-25,2026-08-25T00:22:00
20260825125,20,7,4,2026-08-25,2026-08-25T17:47:00
20260825126,48,4,4,2026-08-25,2026-08-25T07:17:00
20260825127,28,8,1,2026-08-25,2026-08-25T12:21:00
20260825128,43,7,2,2026-08-25,2026-08-25T14:58:00
20260825129,9,1,4,2026-08-25,2026-08-25T18:36:00
