order_id,customer_id,product_id,quantity,order_date,order_ts
20260824000,41,2,1,2026-08-24,2026-08-24T23:17:00
20260824001,16,4,2,2026-08-24,2026-08-24T23:06:00
20260824002,44,2,4,2026-08-24,2026-08-24T01:01:00
20260824003,6,4,2,2026-08-24,2026-08-24T16:38:00
20260824004,2,4,4,2026-08-24,2026-08-24T07:28:00
20260824005,38,5,1,2026-08-24,2026-08-24T05:44:00
20260824006,28,6,3,2026-08-24,2026-08-24T04:13:00
20260824007,49,6,1,2026-08-24,2026-08-24T02:24:00
20260824008,7,6,3,2026-08-24,2026-08-24T19:16:00
20260824009,3,8,1,2026-08-24,2026-08-24T12:05:00
20260824010,36,5,3,2026-08-24,2026-08-24T18:12:00
20260824011,46,2,1,2026-08-24,2026-08-24T21:14:00
20260824012,50,5,1,2026-08-24,2026-08-24T07:55:00
20260824013,7,7,3,2026-08-24,2026-08-24T14:40:00
20260824014,24,3,3,2026-08-24,2026-08-24T11:13:00
20260824015,43,5,1,2026-08-24,2026-08-24T19:40:00
20260824016,11,4,2,2026-08-24,2026-08-24T14:24:00
20260824017,18,4,3,2026-08-24,2026-08-24T01:14:00
20260824018,3,6,4,2026-08-24,2026-08-24T08:04:00
20260824019,14,6,2,2026-08-24,2026-08-24T20:31:00
20260824020,26,8,2,2026-08-24,2026-08-24T08:08:00
20260824021,16,5,4,2026-08-24,2026-08-24T18:25:00
20260824022,24,4,2,2026-08-24,2026-08-24T16:31:00
20260824023,6,1,1,2026-08-24,2026-08-24T04:40:00
20260824024,11,7,1,2026-08-24,2026-08-24T12:24:00
20260824025,39,8,3,2026-08-24,2026-08-24T17:55:00
20260824026,1,2,3,2026-08-24,2026-08-24T20:21:00
20260824027,8,5,4,2026-08-24,2026-08-24T05:29:00
20260824028,1,5,2,2026-08-24,2026-08-24T16:58:00
20260824029,7,5,2,2026-08-24,2026-08-24T04:23:00
20260824030,49,3,1,2026-08-24,2026-08-24T19:20:00
20260824031,32,1,1,2026-08-24,2026-08-24T11:56:00
20260824032,20,4,1,2026-08-24,2026-08-24T07:56:00
20260824033,37,2,1,2026-08-24,2026-08-24T23:31:00
20260824034,5,3,2,2026-08-24,2026-08-24T21:30:00
20260824035,36,3,3,2026-08-24,2026-08-24T16:55:00
20260824036,39,7,2,2026-08-24,2026-08-24T17:48:00
20260824037,47,4,3,2026-08-24,2026-08-24T12:42:00
20260824038,42,6,4,2026-08-24,2026-08-24T16:28:00
